储能/MWh,产量/t,吨氨成本/元,弃电/MWh,分支节点数
212,56.4506424651782,5895.00110218667,0.0,1
213,56.4506424651782,5898.281581860562,0.0,1
214,56.4506424651782,5901.562061534454,0.0,1
215,56.4506424651782,5904.842541208347,0.0,1
216,56.4506424651782,5908.12302088224,0.0,1
217,56.4506424651782,5911.403500556132,0.0,1
218,56.4506424651782,5914.683980230024,0.0,1
219,56.4506424651782,5917.964459903917,0.0,1
220,56.4506424651782,5921.244939577809,0.0,1
221,56.4506424651782,5924.525419251701,0.0,1
222,56.4506424651782,5927.805898925594,0.0,1
223,56.4506424651782,5931.086378599486,0.0,1
224,56.4506424651782,5934.366858273379,0.0,1
225,56.4506424651782,5937.647337947271,0.0,1
226,56.4506424651782,5940.927817621164,0.0,1
227,56.4506424651782,5944.208297295056,0.0,1
228,56.4506424651782,5947.488776968948,0.0,1
229,56.4506424651782,5950.769256642841,0.0,1
230,56.4506424651782,5954.049736316733,0.0,1
231,56.4506424651782,5957.330215990625,0.0,1
232,56.4506424651782,5960.610695664517,0.0,1
233,56.4506424651782,5963.891175338411,0.0,1
234,56.4506424651782,5967.171655012303,0.0,1
235,56.4506424651782,5970.452134686195,0.0,1
236,56.4506424651782,5973.732614360088,0.0,1
237,56.4506424651782,5977.01309403398,0.0,1
238,56.4506424651782,5980.293573707872,0.0,1
239,56.4506424651782,5983.574053381765,0.0,1
240,56.4506424651782,5986.854533055657,0.0,1
241,56.4506424651782,5990.13501272955,0.0,1
242,56.4506424651782,5993.415492403443,0.0,1
243,56.4506424651782,5996.695972077335,0.0,1
244,56.4506424651782,5999.976451751227,0.0,1
245,56.4506424651782,6003.256931425119,0.0,1
246,56.4506424651782,6006.537411099012,0.0,1
247,56.4506424651782,6009.817890772904,0.0,1
248,56.4506424651782,6013.098370446796,0.0,1
249,56.4506424651782,6016.37885012069,0.0,1
250,56.4506424651782,6019.659329794582,0.0,1
251,56.4506424651782,6022.939809468474,0.0,1
252,56.4506424651782,6026.220289142366,0.0,1
253,56.4506424651782,6029.500768816259,0.0,1
254,56.4506424651782,6032.7812484901515,0.0,1
255,56.4506424651782,6036.061728164043,0.0,1
256,56.4506424651782,6039.342207837936,0.0,1
257,56.4506424651782,6042.622687511828,0.0,1
258,56.4506424651782,6045.903167185721,0.0,1
259,56.4506424651782,6049.183646859613,0.0,1
260,56.4506424651782,6052.464126533505,0.0,1
261,56.4506424651782,6055.744606207398,0.0,1
262,56.4506424651782,6059.02508588129,0.0,1
263,56.4506424651782,6062.305565555183,0.0,1
264,56.4506424651782,6065.586045229075,0.0,1
265,56.4506424651782,6068.866524902967,0.0,1
266,56.4506424651782,6072.147004576859,0.0,1
267,56.4506424651782,6075.427484250752,0.0,1
268,56.4506424651782,6078.707963924645,0.0,1
269,56.4506424651782,6081.988443598538,0.0,1
270,56.4506424651782,6085.26892327243,0.0,1
271,56.4506424651782,6088.5494029463225,0.0,1
272,56.4506424651782,6091.829882620214,0.0,1
273,56.4506424651782,6095.110362294106,0.0,1
274,56.4506424651782,6098.390841967998,0.0,1
275,56.4506424651782,6101.671321641892,0.0,1
276,56.4506424651782,6104.951801315785,0.0,1
277,56.4506424651782,6108.232280989677,0.0,1
278,56.4506424651782,6111.512760663569,0.0,1
279,56.4506424651782,6114.793240337461,0.0,1
280,56.4506424651782,6118.0737200113535,0.0,1
281,56.4506424651782,6121.3541996852455,0.0,1
282,56.4506424651782,6124.634679359138,0.0,1
283,56.4506424651782,6127.915159033032,0.0,1
284,56.4506424651782,6131.195638706924,0.0,1
285,56.4506424651782,6134.476118380816,0.0,1
286,56.4506424651782,6137.756598054708,0.0,1
287,56.4506424651782,6141.0370777286,0.0,1
288,56.4506424651782,6144.317557402494,0.0,1
289,56.4506424651782,6147.5980370763855,0.0,1
290,56.4506424651782,6150.878516750278,0.0,1
291,56.4506424651782,6154.15899642417,0.0,1
292,56.4506424651782,6157.439476098063,0.0,1
293,56.4506424651782,6160.719955771955,0.0,1
294,56.4506424651782,6164.000435445847,0.0,1
295,56.4506424651782,6167.28091511974,0.0,1
296,56.4506424651782,6170.561394793634,0.0,1
297,56.4506424651782,6173.8418744675255,0.0,1
298,56.4506424651782,6177.122354141417,0.0,1
299,56.4506424651782,6180.402833815309,0.0,1
300,56.4506424651782,6183.683313489201,0.0,1
