场景,产量/t,吨氨成本/元_离散,购电/MWh_离散,上网/MWh_离散,自发自用占比_离散,绿电比例_离散,上网比例_离散,判定_离散,开机小时数,开机小时,吨氨成本/元_连续,购电/MWh_连续,上网/MWh_连续,自发自用占比_连续,绿电比例_连续,上网比例_连续,判定_连续,平均负荷率,最小负荷率,最大负荷率,吨氨成本差_离散减连续
W3P2,36,6068.131799999999,245.10039999999998,208.6604,0.20096346787163982,0.5613180126002291,0.39951826606418017,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23",6005.398775,237.4062,200.96620000000001,0.23042735697327105,0.5750891323024054,0.3847863215133645,部分满足,0.5,0.1,1.0,62.73302499999954
W3P3,72,9112.336236111112,700.1999999999999,0.0,0.9999999999999996,0.33738360208948454,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",9112.336236111112,700.1999999999999,0.0,0.9999999999999996,0.33738360208948454,0.0,全满足,1.0,1.0,1.0,0.0
W3P3,63,8747.204617460318,599.0062,23.306200000000004,0.8692572646695836,0.3574411619574779,0.06537136766520812,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",8590.165222222222,575.6999999999999,0.0,1.0000000000000002,0.3824419128531892,0.0,全满足,0.875,0.13,1.0,157.0393952380964
W3P3,54,8452.736425925927,522.284,71.084,0.6012341523617188,0.35338483632942114,0.19938292381914058,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23",8004.848292592593,451.3924,0.19239999999999569,0.9989206776618421,0.4411523795374635,0.0005396611690788614,全满足,0.75,0.13,1.0,447.8881333333338
W3P3,45,8185.047844444445,427.13,100.43,0.43660944687535064,0.3748280202570183,0.2816952765623247,部分满足,15,"0,1,2,3,4,5,6,7,8,9,13,15,16,17,23",7591.811284444445,326.89239999999995,0.19239999999999569,0.9989206776618423,0.5215415239600715,0.0005396611690788614,全满足,0.625,0.12,1.0,593.2365600000003
W3P3,36,7880.683747222223,345.2962,143.0962,0.19726130371367667,0.3819870418098511,0.40136934814316166,部分满足,12,"0,1,2,3,4,5,6,9,15,16,17,23",7192.884997222222,237.4062,35.206199999999995,0.8025008414675194,0.5750891323024055,0.0987495792662403,全满足,0.5,0.1,1.0,687.7987500000008
W3P4,72,9660.846458333333,764.8399999999999,0.0,0.9999999999999996,0.2762131879778939,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",9660.846458333333,764.8399999999999,0.0,0.9999999999999996,0.2762131879778939,0.0,部分满足,1.0,1.0,1.0,0.0
W3P4,63,9329.774509523808,657.0717999999999,16.7318,0.885351514320954,0.2951537190791873,0.057324242839523094,部分满足,21,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,21,22,23",9217.034047619049,640.3399999999999,0.0,1.0000000000000004,0.31310205745424896,0.0,全满足,0.875,0.13,1.0,112.74046190475929
W3P4,54,8973.234238888888,560.1022,44.26220000000001,0.6967096066876798,0.30656390828504926,0.15164519665616008,全满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23",8625.284166666666,515.84,0.0,1.0,0.3613628485118605,0.0,全满足,0.75,0.13,1.0,347.95007222222193
W3P4,45,8679.914286666666,468.0122,76.6722,0.47463204056461566,0.31499048622698395,0.2626839797176922,部分满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23",8291.186653333334,391.7012,0.3612000000000002,0.9975250102781967,0.4266836450923568,0.0012374948609017412,全满足,0.625,0.11,1.0,388.72763333333205
W3P4,36,8455.48705,362.8224,95.98240000000001,0.3423160202823078,0.35061855670103087,0.32884198985884616,部分满足,12,"0,1,2,3,4,5,6,7,15,16,17,23",7846.4749833333335,267.2012,0.3612000000000002,0.9975250102781967,0.5217618843069873,0.0012374948609017412,全满足,0.5,0.11,1.0,609.0120666666662
W4P1,72,6001.41146388889,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",6001.41146388889,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足,1.0,1.0,1.0,0.0
W4P1,63,5272.31633968254,246.832,191.536,0.5631639685993314,0.7352212996932054,0.21841801570033437,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,23",5155.4153396825395,229.17000000000002,173.874,0.603445680583494,0.7541674711977858,0.19827715970825294,全满足,0.875,0.17,1.0,116.90100000000075
W4P1,54,4693.506190740741,188.95420000000001,258.15819999999997,0.4112187601206033,0.7660647253998911,0.2943906199396983,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23",4695.90404074074,189.51839999999999,258.7224000000001,0.4099319895452739,0.7653662160154509,0.29503400522736306,部分满足,0.75,0.1,1.0,-2.39784999999938
W4P1,45,4253.1507622222225,188.95420000000001,382.65819999999997,0.1272716905912028,0.723435789350429,0.43636415470439854,部分满足,15,"0,1,2,3,4,5,6,8,9,10,12,14,15,16,23",4256.028182222222,189.51839999999999,383.2224,0.1259849200158736,0.722609993852639,0.43700753999206315,部分满足,0.6249999999999999,0.1,1.0,-2.877419999999802
W4P1,36,3592.6176194444447,188.95420000000001,507.15819999999997,-0.15667537893819755,0.66180877720504,0.5783376894690988,部分满足,12,"0,1,2,3,4,5,6,8,9,14,15,23",3596.2143944444447,189.51839999999999,507.7224,-0.15796214951352677,0.6607989690721648,0.5789810747567634,部分满足,0.5,0.1,1.0,-3.5967749999999796
W4P2,72,7248.680518055556,448.09619999999995,9.740200000000009,0.9684968723923124,0.5759555984555986,0.015751563803843703,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",7248.680518055556,448.09619999999995,9.740200000000009,0.9684968723923124,0.5759555984555986,0.015751563803843703,全满足,1.0,1.0,1.0,0.0
